code_ligne,nom_ligne,sens,vers,couleur,code_arret,nom_arret,refs
401,401,A,Saint-Michel-sur-Orge Rue Berlioz,13395711,1010,Agora,268519181
401,401,A,Saint-Michel-sur-Orge Rue Berlioz,13395711,1095,Aguado,268519177
401,401,A,Saint-Michel-sur-Orge Rue Berlioz,13395711,1305,Aristide BRIAND,268519211
401,401,A,Saint-Michel-sur-Orge Rue Berlioz,13395711,1314,Avenue du Lac,268519185
401,401,A,Saint-Michel-sur-Orge Rue Berlioz,13395711,1325,Bois Briard,268519186
401,401,A,Saint-Michel-sur-Orge Rue Berlioz,13395711,1389,Bois Clairs,268519206
401,401,A,Saint-Michel-sur-Orge Rue Berlioz,13395711,1345,Cimetiere,268519189
401,401,A,Saint-Michel-sur-Orge Rue Berlioz,13395711,1201,College Paul Eluard,268519201
401,401,A,Saint-Michel-sur-Orge Rue Berlioz,13395711,1559,Coquelicots,268519212
401,401,A,Saint-Michel-sur-Orge Rue Berlioz,13395711,1369,Donjon,268519208
401,401,A,Saint-Michel-sur-Orge Rue Berlioz,13395711,1375,Edouard Branly,268519188
401,401,A,Saint-Michel-sur-Orge Rue Berlioz,13395711,1462,Eperon,268519205
401,401,A,Saint-Michel-sur-Orge Rue Berlioz,13395711,1105,Evry Courcouronnes Centre RER,268519182
401,401,A,Saint-Michel-sur-Orge Rue Berlioz,13395711,1636,Gare du Bras de Fer RER,268519174
401,401,A,Saint-Michel-sur-Orge Rue Berlioz,13395711,2267,Gare RER,268519169
401,401,A,Saint-Michel-sur-Orge Rue Berlioz,13395711,2259,Général de Gaulle,268519171
401,401,A,Saint-Michel-sur-Orge Rue Berlioz,13395711,1397,Gustave Courbet,268519170
401,401,A,Saint-Michel-sur-Orge Rue Berlioz,13395711,1371,Guy Môquet,268519207
401,401,A,Saint-Michel-sur-Orge Rue Berlioz,13395711,1560,Hôpital manhès,268519197
401,401,A,Saint-Michel-sur-Orge Rue Berlioz,13395711,1424,Joliot - Curie,268519204
401,401,A,Saint-Michel-sur-Orge Rue Berlioz,13395711,1076,La Garenne,268519187
401,401,A,Saint-Michel-sur-Orge Rue Berlioz,13395711,1503,La Mare aux Moules,268519194
401,401,A,Saint-Michel-sur-Orge Rue Berlioz,13395711,1580,La Tour,268519213
401,401,A,Saint-Michel-sur-Orge Rue Berlioz,13395711,1356,Les Closeaux St Spire,268519195
401,401,A,Saint-Michel-sur-Orge Rue Berlioz,13395711,1056,Les Estudines,268519184
401,401,A,Saint-Michel-sur-Orge Rue Berlioz,13395711,1034,Les Galants Courts,268519179
401,401,A,Saint-Michel-sur-Orge Rue Berlioz,13395711,1004,Les Miroirs,268519180
401,401,A,Saint-Michel-sur-Orge Rue Berlioz,13395711,1124,Les Quinconges,268519193
401,401,A,Saint-Michel-sur-Orge Rue Berlioz,13395711,1126,Les Remises,268519192
401,401,A,Saint-Michel-sur-Orge Rue Berlioz,13395711,1487,Louis Bourdet,268519190
401,401,A,Saint-Michel-sur-Orge Rue Berlioz,13395711,1491,Louis Tostain,268519210
401,401,A,Saint-Michel-sur-Orge Rue Berlioz,13395711,1207,Mairie,268519198
401,401,A,Saint-Michel-sur-Orge Rue Berlioz,13395711,1197,Marche,268519209
401,401,A,Saint-Michel-sur-Orge Rue Berlioz,13395711,1121,Marinière Lycée,268519191
401,401,A,Saint-Michel-sur-Orge Rue Berlioz,13395711,1064,Monseigneur Roméro,268519183
401,401,A,Saint-Michel-sur-Orge Rue Berlioz,13395711,1091,Pasteur,268519175
401,401,A,Saint-Michel-sur-Orge Rue Berlioz,13395711,1199,Pierre Mendès-France,268519202
401,401,A,Saint-Michel-sur-Orge Rue Berlioz,13395711,1531,Piscine,268519200
401,401,A,Saint-Michel-sur-Orge Rue Berlioz,13395711,1047,Préfecture,268519178
401,401,A,Saint-Michel-sur-Orge Rue Berlioz,13395711,1205,Rond-Point de Fleury,268519199
401,401,A,Saint-Michel-sur-Orge Rue Berlioz,13395711,1019,Rond-Point Hopit,268519173
401,401,A,Saint-Michel-sur-Orge Rue Berlioz,13395711,1099,Saint-Exupéry,268519176
401,401,A,Saint-Michel-sur-Orge Rue Berlioz,13395711,1195,Saint Hubert,268519203
401,401,A,Saint-Michel-sur-Orge Rue Berlioz,13395711,2255,Strathkelvin,268519172
401,401,A,Saint-Michel-sur-Orge Rue Berlioz,13395711,1595,Z.I. des Ciroliers,268519196
